obj,time,method,robj
422.8562630189882,0.0,EM,235.10024991651005
279.9147639776636,0.000206566,EM,92.15875087518543
230.5968070510136,0.000390699,EM,42.84079394853544
211.94095393839987,0.000575004,EM,24.18494083592171
203.8262754127529,0.000764771,EM,16.07026231027473
199.83255510440907,0.0009505410000000001,EM,12.076542001930909
197.66341320705376,0.001134714,EM,9.907400104575606
196.3866984516933,0.001322454,EM,8.630685349215133
195.58060927265117,0.001508228,EM,7.824596170173015
195.03720805499788,0.001696991,EM,7.2811949525197175
194.64706633744444,0.001878994,EM,6.891053234966284
194.3496960389814,0.002061378,EM,6.5936829365032334
194.11040860511636,0.00224674,EM,6.354395502638203
193.9087528486771,0.002436403,EM,6.152739746198938
193.7324115746079,0.0026287980000000003,EM,5.97639847212975
193.57383541027707,0.0028135140000000005,EM,5.817822307798911
193.4283217921637,0.006013376000000001,EM,5.672308689685542
193.29289012385996,0.006191983000000001,EM,5.5368770213818035
193.1656108466463,0.006368902000000001,EM,5.409597744168144
193.04520024614308,0.0065477600000000006,EM,5.289187143664924
192.93077388261014,0.006723258,EM,5.174760780131981
192.8216959639134,0.0068907050000000004,EM,5.0656828614352545
192.71748720914363,0.007060126000000001,EM,4.961474106665468
192.61776849962817,0.0072307380000000004,EM,4.861755397150011
192.52222643247387,0.007401466000000001,EM,4.766213329995713
192.43059224942314,0.007572614000000001,EM,4.674579146944984
192.34262890180574,0.007747811000000001,EM,4.58661579932758
192.25812304039454,0.007915092,EM,4.502109937916378
192.17687997106242,0.008083882,EM,4.420866868584261
192.0987203885032,0.008250201,EM,4.3427072860250515
192.02347817333012,0.008414284000000001,EM,4.26746507085196
191.95099882613508,0.008582792,EM,4.194985723656918
191.8811382864005,0.008751999,EM,4.125125183922341
191.8137619885983,0.008928598,EM,4.0577488861201285
191.74874406976687,0.009103940999999999,EM,3.992730967288713
191.68596667917544,0.009284012999999999,EM,3.9299535766972777
191.62531936170652,0.009463683999999998,EM,3.869306259228358
191.56669849856561,0.009647791999999999,EM,3.8106853960874556
191.51000679563398,0.009827233,EM,3.7539936931558255
191.45515281345726,0.010004687,EM,3.699139710979102
191.4020505348289,0.010183725,EM,3.6460374323507434
191.3506189669493,0.010362462,EM,3.5946058644711396
191.30078177565784,0.010542471,EM,3.5447686731796804
191.25246694949342,0.010730453,EM,3.4964538470152657
191.20560649147714,0.010908638,EM,3.4495933889989825
191.1601361365927,0.011085861,EM,3.404123034114553
191.11599509300882,0.011264718,EM,3.3599819905306614
191.07312580516756,0.011445577,EM,3.317112702689405
191.0314737369325,0.011634348000000001,EM,3.2754606344543387
190.9909871730866,0.011815098000000001,EM,3.23497407060845
190.95161703756432,0.011994977000000002,EM,3.19560393508616
190.91331672690643,0.012179015000000001,EM,3.1573036244282715
190.87604195752903,0.012360797000000001,EM,3.120028855050867
190.83975062550854,0.012541720000000001,EM,3.0837375230303845
190.80440267768248,0.012730362,EM,3.0483895752043164
190.76995999297782,0.012910654,EM,3.0139468904996587
190.73638627296484,0.013154499,EM,2.9803731704866774
190.7036469407375,0.013417899,EM,2.947633838259355
190.67170904730173,0.013685621,EM,2.9156959448235735
190.64054118473717,0.013950461,EM,2.884528082259015
190.6101134054729,0.016421792,EM,2.854100302994743
190.58039714708667,0.01660651,EM,2.8243840446085127
190.55136516209933,0.016790387,EM,2.7953520596211714
190.52299145229497,0.01696899,EM,2.7669783498168155
190.495251207147,0.017145537,EM,2.739238104668834
190.4681207459808,0.017324145,EM,2.712107643502639
190.44157746353827,0.017503029,EM,2.6855643610601074
190.41559977865728,0.01768757,EM,2.6595866761791225
190.39016708580002,0.017866428,EM,2.6341539833218572
190.36525970920434,0.018047311,EM,2.6092466067261793
190.3408588594511,0.018207488,EM,2.58484575697293
190.31694659226613,0.018365179000000002,EM,2.560933489787976
190.29350576939564,0.018529009000000003,EM,2.537492666917478
190.27052002140945,0.018709328000000004,EM,2.5145069189312945
190.24797371230602,0.018883716000000005,EM,2.4919606098278617
190.22585190580074,0.019061769000000006,EM,2.4698388033225793
190.20414033319554,0.019242773000000005,EM,2.4481272307173807
190.1828253627373,0.019421718000000004,EM,2.4268122602591458
190.16189397037846,0.019603990000000005,EM,2.405880867900299
190.14133371186398,0.019786773000000004,EM,2.38532060938582
190.12113269607755,0.019969692000000004,EM,2.3651195935993936
190.10127955957662,0.020149660000000003,EM,2.3452664570984663
190.0817634422639,0.020327793000000004,EM,2.3257503397857473
190.06257396413702,0.020503525000000005,EM,2.3065608616588573
190.04370120306763,0.020685625000000006,EM,2.2876881005894685
190.02513567356135,0.020863579000000007,EM,2.2691225710831926
190.00686830645583,0.021041327000000005,EM,2.25085520397767
189.98889042951615,0.021218627000000004,EM,2.232877327037988
189.97119374888624,0.021395324000000004,EM,2.2151806464080774
189.95377033136245,0.021574790000000003,EM,2.1977572288842904
189.93661258745203,0.021754928000000003,EM,2.1805994849738735
189.91971325518566,0.021933010000000003,EM,2.163700152707497
189.90306538465026,0.022140615000000002,EM,2.147052282172103
189.88666232321376,0.022403392,EM,2.130649220735597
189.87049770141252,0.022678408,EM,2.114484598934359
189.8545654194737,0.022939961000000002,EM,2.0985523169955282
189.83885963444592,0.023201625000000003,EM,2.082846531967766
189.82337474791498,0.023465621000000002,EM,2.067361645436824
189.80810539427594,0.023733681000000003,EM,2.0520922917977824
189.79304642954438,0.023998177000000002,EM,2.037033327066217
189.77819292067926,0.024264232000000004,EM,2.022179818201101
189.76354013539816,0.024528356000000005,EM,2.0075270329200006
189.74908353246326,0.024790988000000003,EM,1.9930704299851012
