obj,time,method,robj
5305.547737519461,0.0,EM,3380.6683531749986
3062.4676698900057,0.200559337,EM,1137.5882855455427
2402.5513485567326,0.235675931,EM,477.6719642122697
2174.724522493497,0.265844621,EM,249.8451381490339
2078.1259553776868,0.316115928,EM,153.24657103322383
2030.3103554939753,0.48364493399999997,EM,105.43097114951237
2003.9516255891285,0.521983521,EM,79.0722412446656
1988.2377294287135,0.552702929,EM,63.35834508425055
1978.2718676014829,0.589073867,EM,53.39248325701997
1971.6066600875117,0.618488894,EM,46.727275743048814
1966.9277241283048,0.66717396,EM,42.048339783841904
1963.4906405600418,0.835846739,EM,38.6112562155789
1960.8566511529943,0.8745238329999999,EM,35.97726680853143
1958.7590979340303,0.9054215499999999,EM,33.87971358956734
1957.0318479529208,0.9422610329999999,EM,32.15246360845786
1955.5691137988927,0.9716985009999999,EM,30.68972945442974
1954.3020780353652,1.021906756,EM,29.422693690902268
1953.1849302941155,1.20105591,EM,28.305545949652558
1952.186370769532,1.240900411,EM,27.306986425069088
1951.2843748738892,1.272820826,EM,26.404990529426275
1950.4629394759222,1.309828627,EM,25.583555131459295
1949.7100467424182,1.339044146,EM,24.830662397955255
1949.0163805726775,1.388762833,EM,24.136996228214546
1948.3745094847677,1.5569955199999999,EM,23.495125140304797
1947.7783591037194,1.595697529,EM,22.89897475925645
1947.2228649410997,1.6263415559999999,EM,22.343480596636798
1946.7037380406682,1.6629627719999998,EM,21.824353696205296
1946.2173019931456,1.6917967649999996,EM,21.337917648682694
1945.7603757970614,1.7413008719999996,EM,20.880991452598526
1945.330186827382,1.9106311029999996,EM,20.450802482919105
1944.9243041372836,1.9496063029999997,EM,20.044919792820654
1944.5405859427362,1.9810663659999996,EM,19.661201598273326
1944.177137343353,2.0175250639999995,EM,19.297752998890108
1943.8322756800767,2.0471214259999995,EM,18.952891335613774
1943.5045017628547,2.0972447979999993,EM,18.6251174183918
1943.192475725185,2.2675286419999994,EM,18.31309138072206
1942.8949966000923,2.305788245999999,EM,18.01561225562941
1942.6109849364902,2.3359431599999994,EM,17.731600592027323
1942.3394679292905,2.3716480369999995,EM,17.460083584827633
1942.0795666467207,2.4007257159999993,EM,17.200182302257733
1941.8304850194738,2.4502646769999994,EM,16.95110067501091
1941.5915003180673,2.6175036239999994,EM,16.71211597360443
1941.3619548928186,2.6562072059999995,EM,16.482570548355714
1941.1412489890758,2.6866862949999994,EM,16.26186464461293
1940.9288344811353,2.7227170109999994,EM,16.049450136672338
1940.7242093933824,2.7522181289999996,EM,15.844825048919438
1940.5269130978754,2.8014395139999997,EM,15.647528753412507
1940.3365220946948,2.9703966589999995,EM,15.457137750231913
1940.1526462955808,3.0082577959999997,EM,15.273261951117865
1939.974925743319,3.0391429599999995,EM,15.095541398856176
1939.8030277092287,3.0745664039999996,EM,14.923643364765757
1939.6366441195523,3.1044530349999997,EM,14.757259775089414
1939.475489268543,3.1579202909999995,EM,14.5961049240801
1939.3192977820447,3.3268633829999996,EM,14.439913437581799
1939.1678228003989,3.3652627469999996,EM,14.288438455935966
1939.020834353798,3.3958956349999996,EM,14.141450009334994
1938.878117906866,3.4316449449999995,EM,13.998733562403094
1938.7394730523229,3.4609154369999997,EM,13.86008870785995
1938.6047123362955,3.5107370469999997,EM,13.725327991832591
1938.4736602000748,3.6808664949999996,EM,13.594275855611931
1938.346152025076,3.7200470939999994,EM,13.466767680613065
1938.2220332694583,3.7511182639999996,EM,13.342648924995364
1938.1011586862787,3.7866453649999996,EM,13.221774341815808
1937.9833916143243,3.8159729599999994,EM,13.104007269861404
1937.8686033338288,3.864839350999999,EM,12.989218989365872
1937.7566724802255,4.033850097999999,EM,12.877288135762546
1937.6474845098992,4.072163027999999,EM,12.768100165436271
1937.5409312125996,4.102833564999999,EM,12.661546868136702
1937.4369102658056,4.138692546999999,EM,12.557525921342721
1937.3353248268445,4.1674952749999985,EM,12.455940482381584
1937.236083159074,4.217379109999999,EM,12.356698814611127
1937.1390982888095,4.3845886589999985,EM,12.259713944346549
1937.0442876900688,4.423760712999998,EM,12.164903345605898
1936.9515729945094,4.4540805579999985,EM,12.072188650046519
1936.8608797242114,4.489902759999999,EM,11.981495379748457
1936.772137045221,4.519002454999999,EM,11.892752700758
1936.6852775399618,4.568334929999999,EM,11.805893195498902
1936.6002369968473,4.737707258999999,EM,11.720852652384428
1936.5169542155588,4.776078209999999,EM,11.637569871095911
1936.435370826644,4.8063248179999984,EM,11.55598648218106
1936.3554311241946,4.842282909999998,EM,11.476046779731723
1936.2770819105037,4.872147796999998,EM,11.397697566040824
1936.2002723516953,4.922127055999997,EM,11.32088800723236
1936.1249538434174,5.091652420999997,EM,11.2455694989545
1936.0510798857902,5.130553959999998,EM,11.171695541327244
1935.978605966842,5.161519022999998,EM,11.099221622379082
1935.9074894537862,5.197545627999998,EM,11.028105109323269
1935.83768949149,5.227138810999998,EM,10.958305147027067
1935.769166907607,5.2767981049999975,EM,10.889782563144172
1935.7018841238382,5.445132599999997,EM,10.822499779375311
1935.635805072875,5.483485836999997,EM,10.756420728412058
1935.570895120583,5.513520158999997,EM,10.691510776120003
1935.507120993049,5.549346472999997,EM,10.627736648586142
1935.4444507081284,5.578480371999997,EM,10.565066363665528
1935.3828535111752,5.6282821239999965,EM,10.503469166712284
1935.3222998146398,5.798464056999997,EM,10.442915470176876
1935.2627611412806,5.837036770999997,EM,10.38337679681772
1935.2042100707176,5.867485913999997,EM,10.324825726254721
1935.1466201891121,5.903612819999997,EM,10.267235844649212
